ISSN	Título	Área de Avaliação	Estrato
00018392	ADMINISTRATIVE SCIENCE QUARTERLY	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00018678	ADVANCES IN APPLIED PROBABILITY	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	A4
00018686	ADVANCES IN COLLOID AND INTERFACE SCIENCE (PRINT)	CIÊNCIA DE ALIMENTOS                              	A1
00018708	ADVANCES IN MATHEMATICS (NEW YORK. 1965)	CIÊNCIA DA COMPUTAÇÃO                             	A1
00018791	JOURNAL OF VOCATIONAL BEHAVIOR (PRINT)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00019054	AEQUATIONES MATHEMATICAE (PRINT)	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	A3
00019240	AERONAUTICAL JOURNAL (1968)	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	A4
00019704	AFINIDAD (BARCELONA)	CIÊNCIA DE ALIMENTOS                              	B3
00019933	AFRICAN ARTS	HISTÓRIA                                          	A4
00020184	AFRICAN STUDIES (JOHANNESBURG)	LINGUíSTICA E LITERATURA	A1
00020206	AFRICAN STUDIES REVIEW	LINGUíSTICA E LITERATURA	A1
00020591	AFRO-ÁSIA (UFBA. IMPRESSO)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00020729	AGE AND AGEING	EDUCAÇÃO FÍSICA                                   	A1
00021466	AGRICULTURAL FINANCE REVIEW	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A3
0002161X	AGRICULTURAL RESEARCH (WASHINGTON)	CIÊNCIAS AGRÁRIAS I                               	B4
00021857	AGROCHIMICA (PISA)	BIODIVERSIDADE	B2
00021962	AGRONOMY JOURNAL (PRINT)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A2
00022667	AIRCRAFT ENGINEERING	ENGENHARIAS II                                    	B3
00025100	ALDRICHIMICA ACTA	CIÊNCIAS AGRÁRIAS I                               	A1
00025151	ALERGIA (MÉXICO)	MEDICINA I                                        	B3
00025216	ALFA: REVISTA DE LINGUÍSTICA (SÃO JOSÉ DO RIO PRETO)	INTERDISCIPLINAR                                  	A1
00025232	ALGEBRA AND LOGIC	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	B1
00025240	ALGEBRA UNIVERSALIS (PRINTED ED.)	CIÊNCIA DA COMPUTAÇÃO                             	B1
00025852	ALLGEMEINE FORST- UND JAGDZEITUNG	CIÊNCIAS AGRÁRIAS I                               	B4
00027014	AMEGHINIANA	BIODIVERSIDADE	A4
00027162	THE ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE	INTERDISCIPLINAR                                  	A1
00027189	JOURNAL OF THE AMERICAN ACADEMY OF RELIGION	SOCIOLOGIA                                        	A2
00027294	AMERICAN ANTHROPOLOGIST	ANTROPOLOGIA / ARQUEOLOGIA                        	A1
00027685	THE AMERICAN BIOLOGY TEACHER	CIÊNCIAS AGRÁRIAS I                               	B2
00027812	AMERICAN CERAMIC SOCIETY BULLETIN	ENGENHARIAS II                                    	B1
00027820	JOURNAL OF THE AMERICAN CERAMIC SOCIETY	ASTRONOMIA / FÍSICA                               	A1
00027863	JOURNAL OF THE AMERICAN CHEMICAL SOCIETY (PRINT)	ASTRONOMIA / FÍSICA                               	A1
00028045	BULLETIN OF THE AMERICAN COLLEGE OF SURGEONS	SAÚDE COLETIVA                                    	B2
00028177	THE JOURNAL OF THE AMERICAN DENTAL ASSOCIATION (1939)	CIÊNCIAS BIOLÓGICAS III                           	A1
00028282	THE AMERICAN ECONOMIC REVIEW	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00028320	TRANSACTIONS OF THE AMERICAN ENTOMOLOGICAL SOCIETY (1890)	BIODIVERSIDADE	B3
0002838X	AMERICAN FAMILY PHYSICIAN (1970)	SAÚDE COLETIVA                                    	A1
00028444	AMERICAN FERN JOURNAL	BIODIVERSIDADE	B1
00028487	TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY (1900)	BIODIVERSIDADE	A4
00028614	JOURNAL OF THE AMERICAN GERIATRICS SOCIETY	CIÊNCIAS BIOLÓGICAS I                             	A1
00028703	THE AMERICAN HEART JOURNAL	EDUCAÇÃO FÍSICA                                   	A2
00028762	THE AMERICAN HISTORICAL REVIEW	HISTÓRIA                                          	A1
00029092	AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS	ECONOMIA                                          	A1
00029114	AMERICAN JOURNAL OF ARCHAEOLOGY	ANTROPOLOGIA / ARQUEOLOGIA                        	A4
00029122	AMERICAN JOURNAL OF BOTANY	BIODIVERSIDADE	A2
