ISSN	Título	Área de Avaliação	Estrato
00349542	REVISTA GAÚCHA DE ODONTOLOGIA (CESSOU EM 1975. CONT. 0103-6971 RGO (PORTO ALEGRE))	INTERDISCIPLINAR                                  	C
00349585	REVISTA GOIANA DE MEDICINA	CIÊNCIAS BIOLÓGICAS III                           	C
00349631	REVISTA IBEROAMERICANA	LINGUíSTICA E LITERATURA	A3
00349690	INTERAMERICAN JOURNAL OF PSYCHOLOGY	COMUNICAÇÃO E INFORMAÇÃO	A3
00349860	REVISTA MARÍTIMA BRASILEIRA	ARQUITETURA, URBANISMO E DESIGN	B2
00349887	REVISTA MÉDICA DE CHILE (IMPRESA)	MEDICINA I                                        	A3
0035001X	REVISTA MEXICANA DE FÍSICA	ASTRONOMIA / FÍSICA                               	B2
00350362	REVISTA PAULISTA DE MEDICINA	MEDICINA I                                        	C
00350389	REVISTA PORTUGUESA DE CIÊNCIAS VETERINÁRIAS	BIODIVERSIDADE	B2
00350788	REVUE BELGE DE DROIT INTERNATIONAL	LINGUíSTICA E LITERATURA	C
00350958	REVUE CRITIQUE DE DROIT INTERNATIONAL	DIREITO                                           	A3
00351555	REVUE DE MÉDECINE VÉTÉRINAIRE	MEDICINA VETERINÁRIA                              	B1
00351563	REVUE DE MÉTALLURGIE (IMPRIMÉ)	ENGENHARIAS II                                    	B4
00351571	REVUE DE MÉTAPHYSIQUE ET DE MORALE	FILOSOFIA	A3
00351598	REVUE DE MICROPALÉONTOLOGIE	BIODIVERSIDADE	A4
00351601	REVUE DE MUSICOLOGIE	ARTES	A4
00352578	REVUE DU DROIT PUBLIC ET DE LA SCIENCE POLITIQUE EN FRANCE ET A L'ETRANGER	DIREITO                                           	A2
00352764	REVUE ÉCONOMIQUE (PARIS. 1950)	ECONOMIA                                          	A4
0035287X	REVUE FRANÇAISE DE DROIT AÉRIEN ET SPATIAL	DIREITO                                           	C
00352942	REVUE FRANÇAISE DE PSYCHANALYSE (PARIS)	PSICOLOGIA                                        	A2
00352950	REVUE FRANÇAISE DE SCIENCE POLITIQUE	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	A4
00353086	REVUE GÉNÉRALE DE DROIT	DIREITO                                           	A1
00353787	REVUE NEUROLOGIQUE (PARIS)	BIOTECNOLOGIA                                     	B1
00353841	REVUE PHILOSOPHIQUE DE LOUVAIN (IMPRIMÉ)	FILOSOFIA	A3
00353957	REVUE ROUMAINE DE LINGUISTIQUE	LINGUíSTICA E LITERATURA	A3
00353965	REVUE ROUMAINE DE MATHÉMATIQUES PURES ET APPLIQUÉES	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	B3
0035418X	REVUE SUISSE DE ZOOLOGIE	BIODIVERSIDADE	B2
00354511	RHEOLOGICA ACTA (PRINT)	CIÊNCIAS AGRÁRIAS I                               	A3
00355593	RISK MANAGEMENT	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B1
00356182	RIVISTA DI DIRITTO PROCESSUALE	DIREITO                                           	A1
00356190	RIVISTA DI ECONOMIA AGRARIA	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B1
00356239	RIVISTA DI FILOSOFIA	FILOSOFIA	A4
00357596	THE ROCKY MOUNTAIN JOURNAL OF MATHEMATICS	CIÊNCIA DA COMPUTAÇÃO                             	B2
00357995	ROMANCE NOTES	LINGUíSTICA E LITERATURA	A4
00358711	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY (PRINT)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00358843	ANNALS OF THE ROYAL COLLEGE OF SURGEONS OF ENGLAND	MEDICINA I                                        	B1
00359009	QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY	ASTRONOMIA / FÍSICA                               	A2
00359149	NOTES AND RECORDS OF THE ROYAL SOCIETY OF LONDON	ENSINO	A2
00359173	JOURNAL AND PROCEEDINGS OF THE ROYAL SOCIETY OF NEW SOUTH WALES	CIÊNCIAS AGRÁRIAS I                               	B3
00359203	TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE	ANTROPOLOGIA / ARQUEOLOGIA                        	A3
00359254	APPLIED STATISTICS (PRINT)	ECONOMIA                                          	A2
00359475	RUBBER CHEMISTRY AND TECHNOLOGY	ENGENHARIAS II                                    	A3
00360279	RUSSIAN MATHEMATICAL SURVEYS (PRINT)	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	A4
00360767	JOURNAL OF PUBLIC ADMINISTRATION	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B1
00361399	SIAM JOURNAL ON APPLIED MATHEMATICS (PRINT)	ENGENHARIAS III                                   	A2
00361410	SIAM JOURNAL ON MATHEMATICAL ANALYSIS (PRINT)	INTERDISCIPLINAR                                  	A1
00361429	SIAM JOURNAL ON NUMERICAL ANALYSIS (PRINT)	INTERDISCIPLINAR                                  	A1
00361445	SIAM REVIEW (PRINT)	ECONOMIA                                          	A1
00363375	SALAMANDRA (FRANKFURT)	BIODIVERSIDADE	A3
00363634	SALUD PÚBLICA DE MÉXICO (IMPRESA)	BIODIVERSIDADE	A3
00364665	REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SÃO PAULO (IMPRESSO)	BIODIVERSIDADE	B1
00365513	SCANDINAVIAN JOURNAL OF CLINICAL & LABORATORY INVESTIGATION	CIÊNCIAS BIOLÓGICAS I                             	B2
00365521	SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY (TRYKT UTG.)	ENFERMAGEM                                        	A4
00365548	SCANDINAVIAN JOURNAL OF INFECTIOUS DISEASES	MEDICINA I                                        	A4
00365564	SCANDINAVIAN JOURNAL OF PSYCHOLOGY (PRINT)	ASTRONOMIA / FÍSICA                               	A2
00368075	SCIENCE (NEW YORK, N.Y.)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00368237	SCIENCE & SOCIETY (NEW YORK, N.Y. 1936)	HISTÓRIA                                          	A2
00368709	SCIENTIA PHARMACEUTICA	BIOTECNOLOGIA                                     	A4
00368733	SCIENTIFIC AMERICAN	ANTROPOLOGIA / ARQUEOLOGIA                        	A1
00368792	INDUSTRIAL LUBRICATION AND TRIBOLOGY	ASTRONOMIA / FÍSICA                               	B1
00370738	SEDIMENTARY GEOLOGY	ANTROPOLOGIA / ARQUEOLOGIA                        	A1
00370746	SEDIMENTOLOGY (AMSTERDAM. PRINT)	BIODIVERSIDADE	A1
00371106	BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA	ENGENHARIAS I                                     	A2
00371718	JOURNAL OF AGRICULTURAL ENGINEERING	CIÊNCIAS AGRÁRIAS I                               	B4
00371912	SEMIGROUP FORUM	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	A4
0037198X	SEMINARS IN ROENTGENOLOGY	MEDICINA I                                        	B3
00371998	SEMIOTICA (BERLIN)	ARTES	A1
00374237	SHORE AND BEACH	BIODIVERSIDADE	C
00374466	SIBERIAN MATHEMATICAL JOURNAL	ENGENHARIAS III                                   	A4
00374474	SIBIRSKIJ MATEMATICESKIJ ZURNAL	ENGENHARIAS III                                   	B3
00375330	SILVA FENNICA	CIÊNCIAS AGRÁRIAS I                               	A2
00375349	SILVAE GENETICA	CIÊNCIAS AGRÁRIAS I                               	B1
00375497	SIMULATION (SAN DIEGO, CALIF.)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A4
00376752	SLAVIC AND EAST EUROPEAN JOURNAL	LINGUíSTICA E LITERATURA	A4
00377686	SOCIAL COMPASS (IMPRIMÉ)	ANTROPOLOGIA / ARQUEOLOGIA                        	A1
00377732	SOCIAL FORCES	ECONOMIA                                          	A1
00378682	REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL (IMPRESSO)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B1
00378712	BOLETIM DA SOCIEDADE PARANAENSE DE MATEMÁTICA	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	B2
00378887	ARCHIVUM HISTORICUM SOCIETATIS LESU	HISTÓRIA                                          	A4
00379085	BULLETIN DE LA SOCIÉTÉ DE PATHOLOGIE EXOTIQUE	CIÊNCIAS BIOLÓGICAS III                           	B3
00379174	JOURNAL DE LA SOCIÉTÉ DES AMÉRICANISTES	ANTROPOLOGIA / ARQUEOLOGIA                        	A3
00379271	ANNALES DE LA SOCIÉTÉ ENTOMOLOGIQUE DE FRANCE	BIODIVERSIDADE	B1
0037928X	BULLETIN DE LA SOCIÉTÉ ENTOMOLOGIQUE DE FRANCE	BIODIVERSIDADE	C
00379409	BULLETIN DE LA SOCIÉTÉ GÉOLOGIQUE DE FRANCE	BIODIVERSIDADE	A3
00379484	BULLETIN DE LA SOCIÉTÉ MATHÉMATIQUE DE FRANCE	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	A3
00379832	JOURNAL OF THE SOCIETY OF COSMETIC CHEMISTS	FARMÁCIA                                          	C
00380121	SOCIO-ECONOMIC PLANNING SCIENCES	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00380261	SOCIOLOGICAL REVIEW (KEELE. PRINT)	HISTÓRIA                                          	A1
00380644	SOFTWARE, PRACTICE & EXPERIENCE (PRINT)	CIÊNCIA DA COMPUTAÇÃO                             	A3
00380717	SOIL BIOLOGY & BIOCHEMISTRY	BIODIVERSIDADE	A1
0038075X	SOIL SCIENCE	CIÊNCIAS AGRÁRIAS I                               	A2
00380768	SOIL SCIENCE AND PLANT NUTRITION (TOKYO)	CIÊNCIAS AGRÁRIAS I                               	A3
00380806	SOIL AND FOUNDATION	CIÊNCIAS AGRÁRIAS I                               	A3
0038092X	SOLAR ENERGY	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00380938	SOLAR PHYSICS	ASTRONOMIA / FÍSICA                               	A3
00380946	SOLAR SYSTEM RESEARCH	MATERIAIS                                         	B2
00381098	SOLID STATE COMMUNICATIONS	ASTRONOMIA / FÍSICA                               	A4
00381101	SOLID-STATE ELECTRONICS	ASTRONOMIA / FÍSICA                               	A3
0038111X	SOLID STATE TECHNOLOGY	ENGENHARIAS III                                   	B3
00381527	SOPHIA	CIÊNCIA DA COMPUTAÇÃO                             	A2
0038223X	JOURNAL OF THE SOUTH AFRICAN INSTITUTE OF MINING AND METALLURGY	ENGENHARIAS IV                                    	B3
00382280	SOUTH AFRICAN JOURNAL OF ECONOMICS	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A2
00382337	SOUTH AFRICAN JOURNAL OF OCCUPATIONAL THERAPY	EDUCAÇÃO                                          	B2
00382353	SOUTH AFRICAN JOURNAL OF SCIENCE	BIODIVERSIDADE	A3
0038271X	SOUTH AFRICAN STATISTICAL JOURNAL	ECONOMIA                                          	B3
00382876	THE SOUTH ATLANTIC QUARTERLY	ARQUITETURA, URBANISMO E DESIGN	A1
00384038	SOUTHERN ECONOMIC JOURNAL	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A2
00384283	THE SOUTHERN JOURNAL OF PHILOSOPHY	FILOSOFIA	A1
00386308	SPACE SCIENCE REVIEWS	ASTRONOMIA / FÍSICA                               	A1
00387010	SPECTROSCOPY LETTERS	ASTRONOMIA / FÍSICA                               	B2
00389056	STARCH ‐ STÄRKE	ASTRONOMIA / FÍSICA                               	A3
00389145	DER STAHLBAU	ENGENHARIAS I                                     	B2
00390402	STATISTICA NEERLANDICA (PRINT)	ENGENHARIAS IV                                    	B1
0039128X	STEROIDS (STONEHAM, MA.)	BIODIVERSIDADE	A4
00391735	STOMATOLOGIÂ (MOSKVA)	ODONTOLOGIA                                       	B3
00392480	STROJNISKI VESTNIK	ENGENHARIAS III                                   	A3
00392499	STROKE (DALLAS. 1970)	BIOTECNOLOGIA                                     	A1
00392936	STUDI EMIGRAZIONE	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B2
00392987	STUDI ITALIANI DI FILOLOGIA CLASSICA	LINGUíSTICA E LITERATURA	C
00393169	STUDIA GEOPHYSICA ET GEODAETICA (PRAHA)	ENGENHARIAS III                                   	A3
00393193	STUDIA LINGUISTICA	LINGUíSTICA E LITERATURA	A1
00393207	STUDIA LITURGICA	CIÊNCIAS DA RELIGIÃO E TEOLOGIA	B2
00393215	STUDIA LOGICA	CIÊNCIA DA COMPUTAÇÃO                             	A1
00393223	STUDIA MATHEMATICA	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	A3
00393274	STUDIA NEOPHILOLOGICA (PRINT)	LINGUíSTICA E LITERATURA	A2
00393630	STUDIES IN CONSERVATION	GEOCIÊNCIAS                                       	A2
00393681	STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE	ENGENHARIAS I                                     	A1
00393746	STUDIES IN PHILOSOPHY AND EDUCATION	EDUCAÇÃO                                          	A3
00393762	STUDIES IN ROMANTICISM	LINGUíSTICA E LITERATURA	A3
00394130	STUDIUM	LINGUíSTICA E LITERATURA	C
00396028	SURFACE SCIENCE	ASTRONOMIA / FÍSICA                               	A2
00396060	SURGERY	BIOTECNOLOGIA                                     	A1
00396257	SURVEY OF OPHTHALMOLOGY	MEDICINA I                                        	A1
00396265	SURVEY REVIEW	GEOCIÊNCIAS                                       	A4
00397660	SYLWAN	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	C
00397709	SYMPOSIUM (SYRACUSE. PRINT)	LINGUíSTICA E LITERATURA	A4
00397857	SYNTHESE (DORDRECHT)	FILOSOFIA	A1
00397881	SYNTHESIS (STUTTGART)	ASTRONOMIA / FÍSICA                               	A3
00397911	SYNTHETIC COMMUNICATIONS	ASTRONOMIA / FÍSICA                               	B1
00398322	TESOL QUARTERLY (PRINT)	LINGUíSTICA E LITERATURA	A1
00399140	TALANTA (OXFORD)	ASTRONOMIA / FÍSICA                               	A1
00400262	TAXON	BIODIVERSIDADE	A2
00400912	EDUCATION + TRAINING (LONDON)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00401625	TECHNOLOGICAL FORECASTING & SOCIAL CHANGE	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00401706	TECHNOMETRICS	INTERDISCIPLINAR                                  	A2
00401838	TÉCNICA INDUSTRIAL	ENGENHARIAS II                                    	B3
00401951	TECTONOPHYSICS (AMSTERDAM)	CIÊNCIAS AMBIENTAIS	A1
00404020	TETRAHEDRON (OXFORD. PRINT)	ASTRONOMIA / FÍSICA                               	A4
00404039	TETRAHEDRON LETTERS	ASTRONOMIA / FÍSICA                               	A3
00404691	TEXAS STUDIES IN LITERATURE AND LANGUAGE	FILOSOFIA	A3
00405000	JOURNAL OF THE TEXTILE INSTITUTE	ENGENHARIAS II                                    	A3
00405175	TEXTILE RESEARCH JOURNAL	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A2
00405752	THEORETICAL AND APPLIED GENETICS	BIOTECNOLOGIA                                     	A1
00405760	THEORETICAL AND EXPERIMENTAL CHEMISTRY	BIOTECNOLOGIA                                     	B2
00405779	THEORETICAL AND MATHEMATICAL PHYSICS	ENGENHARIAS III                                   	B2
00405795	THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING	ENGENHARIAS II                                    	B2
00405809	THEORETICAL POPULATION BIOLOGY (PRINT)	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	A3
00405825	THEORIA (LUND)	FILOSOFIA	A2
00405833	THEORY AND DECISION	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A4
00406031	THERMOCHIMICA ACTA (PRINT)	ASTRONOMIA / FÍSICA                               	A2
00406090	THIN SOLID FILMS	ASTRONOMIA / FÍSICA                               	A2
00406376	THORAX	EDUCAÇÃO FÍSICA                                   	A1
00408166	TISSUE & CELL	BIODIVERSIDADE	A4
00408735	TOHOKU MATHEMATICAL JOURNAL	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	A3
00408891	BULLETIN OF TOKYO DENTAL COLLEGE	MEDICINA II                                       	B1
00409375	TOPIQUE (PARIS)	PSICOLOGIA                                        	A3
00409618	THE JOURNAL OF THE TORREY BOTANICAL SOCIETY	BIODIVERSIDADE	B1
00410020	TOWN PLANNING REVIEW	ARQUITETURA, URBANISMO E DESIGN	A3
0041008X	TOXICOLOGY AND APPLIED PHARMACOLOGY	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A2
00410101	TOXICON (OXFORD)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A4
00411132	TRANSFUSION (ARLINGTON, VA.)	BIODIVERSIDADE	A3
00411337	TRANSPLANTATION	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00411345	TRANSPLANTATION PROCEEDINGS	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B3
00411612	TRANSPORTATION JOURNAL	ENGENHARIAS I                                     	A3
00411655	TRANSPORTATION SCIENCE	CIÊNCIA DA COMPUTAÇÃO                             	A1
00412805	REVISTA DE JURISPRUDÊNCIA DO TRIBUNAL DE JUSTIÇA DO ESTADO DO RIO GRANDE DO SUL	DIREITO                                           	B1
00413011	TRIMESTRE ECONÓMICO	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	A2
0041624X	ULTRASONICS (GUILDFORD)	BIOTECNOLOGIA                                     	A1
00416436	UNASYLVA (ENGLISH ED. PRINT)	BIODIVERSIDADE	B1
00416932	REVISTA DE LA UNIÓN MATEMÁTICA ARGENTINA (1968)	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	B3
00418285	REVISTA DE LA FACULTAD DE AGRONOMÍA. UNIVERSIDAD CENTRAL DE VENEZUELA	MEDICINA VETERINÁRIA                              	B4
00418412	TECNOLOGIA QUÍMICA	ENGENHARIAS III                                   	C
00418633	BOLETÍN MEXICANO DE DERECHO COMPARADO	DIREITO                                           	A1
00418676	REVISTA DE LA FACULTAD DE AGRONOMÍA (LA PLATA)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	B4
00418862	REVISTA DE CIÊNCIAS SOCIAIS - UNIVERSIDADE FEDERAL DO CEARÁ - UFC - ECONOMIA E POLÍTICA	ANTROPOLOGIA / ARQUEOLOGIA                        	B1
00418935	UNIVERSIDADES	EDUCAÇÃO                                          	A2
00418994	RENDICONTI DEL SEMINARIO MATEMATICO DELL'UNIVERSITÀ DI PADOVA	ASTRONOMIA / FÍSICA                               	B2
00420220	UNIVERSITY OF TORONTO LAW JOURNAL	DIREITO                                           	A1
00420980	URBAN STUDIES (HARLOW. PRINT)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00421138	UROLOGIA INTERNATIONALIS	INTERDISCIPLINAR                                  	A4
0042207X	VACUUM (OXFORD)	ASTRONOMIA / FÍSICA                               	A3
00422886	VATTEN	ENGENHARIAS I                                     	C
00423114	VEHICLE SYSTEM DYNAMICS	ENGENHARIAS I                                     	A1
00423955	VERITAS (PORTO ALEGRE. IMPRESSO)	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	A1
00424447	VÉRTICE (LISBOA)	SERVIÇO SOCIAL                                    	A4
00424900	VETERINARY RECORD	CIÊNCIAS AMBIENTAIS	A1
00426822	VIROLOGY (NEW YORK, N.Y. PRINT)	ASTRONOMIA / FÍSICA                               	A2
00426989	VISION RESEARCH (OXFORD)	CIÊNCIAS BIOLÓGICAS II                            	A1
00427500	VITIS	CIÊNCIAS AGRÁRIAS I                               	A2
0042790X	J HYDROL HYDROMECH	ENGENHARIAS I                                     	A3
00429007	VOX SANGUINIS (BASEL. 1956)	CIÊNCIAS BIOLÓGICAS II                            	A4
00429686	BULLETIN OF THE WORLD HEALTH ORGANIZATION (PRINT)	CIÊNCIAS BIOLÓGICAS I                             	A1
0043003X	WAKE FOREST LAW REVIEW	DIREITO                                           	A1
00431354	WATER RESEARCH (OXFORD)	BIODIVERSIDADE	A1
00431397	WATER RESOURCES RESEARCH	BIODIVERSIDADE	A1
00431648	WEAR (LAUSANNE)	ASTRONOMIA / FÍSICA                               	A2
00431656	WEATHER	CIÊNCIAS AMBIENTAIS	B2
00431737	WEED RESEARCH (PRINT)	CIÊNCIAS AGRÁRIAS I                               	A2
00431745	WEED SCIENCE	CIÊNCIAS AGRÁRIAS I                               	A2
00432199	WEIMARER BEITRAEGE	FILOSOFIA	B2
00432288	WELDING IN THE WORLD	ENGENHARIAS II                                    	A3
00432296	WELDING JOURNAL	ENGENHARIAS II                                    	B1
00433144	WEST INDIAN MEDICAL JOURNAL	ENFERMAGEM                                        	B3
00435325	WIENER KLINISCHE WOCHENSCHRIFT	MEDICINA I                                        	A4
00435643	THE WILSON BULLETIN	BIODIVERSIDADE	B2
00437719	WOOD SCIENCE AND TECHNOLOGY (PRINT)	ARQUITETURA, URBANISMO E DESIGN	A1
00437956	WORD (WORCESTER)	LINGUíSTICA E LITERATURA	A2
00438243	WORLD ARCHAEOLOGY	ANTROPOLOGIA / ARQUEOLOGIA                        	A2
00438871	WORLD POLITICS (PRINT)	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	A1
00439339	WORLD'S POULTRY SCIENCE JOURNAL	INTERDISCIPLINAR                                  	A2
00442186	ZEITSCHRIFT FÜR ÄSTHETIK UND ALLGEMEINE KUNSTWISSENSCHAFT	FILOSOFIA	A4
00442240	JOURNAL OF APPLIED ENTOMOLOGY	BIODIVERSIDADE	A2
00442267	ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND MECHANIK	ENGENHARIAS III                                   	A3
00442275	ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK (PRINTED ED.)	ENGENHARIAS III                                   	A2
00442313	ZEITSCHRIFT FUR ANORGANISCHE UND ALLGEMEINE CHEMIE (1950)	ASTRONOMIA / FÍSICA                               	B2
00442348	ZEITSCHRIFT FÜR AUSLÄNDISCHES ÖFFENTLICHES RECHT UND VÖLKERRECHT (IMPRESSO)	DIREITO                                           	A2
00443409	ZEITSCHRIFT FUR PSYCHOLOGIE MIT ZEITSCHRIFT FUR ANGEWANDTE PSYCHOLOGIE	EDUCAÇÃO                                          	A1
00443638	ZEITSCHRIFT FÜR VERGLEICHENDE RECHTSWISSENSCHAFT	DIREITO                                           	A4
00444413	FASCICULI MATHEMATICI	MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA          	B3
00445231	ZOOLOGISCHER ANZEIGER	BIODIVERSIDADE	A3
00445592	A. RIVISTA ANARCHICA	MEDICINA I                                        	C
0044586X	ACAROLOGIA (LA VARENNE-SUR-SEINE)	BIODIVERSIDADE	A4
00445967	ACTA AMAZONICA (IMPRESSO)	BIODIVERSIDADE	A3
00446025	ACTA MEDICA IRANICA	BIODIVERSIDADE	A4
00447447	AMBIO (OSLO)	BIODIVERSIDADE	A1
00447471	AMERASIA JOURNAL	ARTES	B2
00448249	ANGEWANDTE CHEMIE (PRINT)	QUÍMICA                                           	A1
00448435	APIDOLOGIE (CELLE)	BIODIVERSIDADE	A2
00448486	AQUACULTURE (AMSTERDAM)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00450421	AUSTRALIAN DENTAL JOURNAL (PRINT)	CIÊNCIAS BIOLÓGICAS II                            	A2
00450618	AUSTRALIAN JOURNAL OF FORENSIC SCIENCE (PRINT)	BIODIVERSIDADE	B1
00450766	AUSTRALIAN OCCUPATIONAL THERAPY JOURNAL (PRINT)	EDUCAÇÃO FÍSICA                                   	A3
00451959	BIBLIOTECA TEATRALE	LINGUíSTICA E LITERATURA	C
0045205X	BIOLOGIE IN UNSERER ZEIT	BIOTECNOLOGIA                                     	B3
00452068	BIOORGANIC CHEMISTRY (PRINT)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A2
00455067	CANADIAN JOURNAL OF FOREST RESEARCH (PRINT)	BIODIVERSIDADE	A2
00456535	CHEMOSPHERE (OXFORD)	ARQUITETURA, URBANISMO E DESIGN	A1
00456888	REVISTA CIÊNCIA AGRONÔMICA (UFC. IMPRESSO)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A3
00457825	COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING	ASTRONOMIA / FÍSICA                               	A1
00457906	COMPUTERS & ELECTRICAL ENGINEERING	CIÊNCIA DA COMPUTAÇÃO                             	A2
00457930	COMPUTERS & FLUIDS	ASTRONOMIA / FÍSICA                               	A1
00457949	COMPUTERS & STRUCTURES	ENGENHARIAS I                                     	A1
00458511	COPEIA	BIODIVERSIDADE	A3
0046001X	DESARROLLO ECONÓMICO (BUENOS AIRES)	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	A3
00461628	EIRENE	FILOSOFIA	B1
0046225X	ENVIRONMENTAL ENTOMOLOGY	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A3
00462772	EUROPEAN JOURNAL OF SOCIAL PSYCHOLOGY (PRINT)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00463663	FEMINIST STUDIES	CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS        	A4
00465070	FRESHWATER BIOLOGY (PRINT)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A1
00465755	GEOMETRIAE DEDICATA	ENSINO	A4
00465828	GEOTECHNICAL ENGINEERING JOURNAL OF THE SEAGS & AGSSEA	ENGENHARIAS I                                     	B3
0046760X	HISTORY OF EDUCATION (TAVISTOCK)	COMUNICAÇÃO E INFORMAÇÃO	B1
00467928	THE HORN CALL	ARTES	C
00468177	HUMAN PATHOLOGY (PRINT)	MEDICINA I                                        	A2
00468819	INCHIESTA	EDUCAÇÃO                                          	B3
00468991	INDIAN JOURNAL OF MICROBIOLOGY	BIODIVERSIDADE	A4
00469580	INQUIRY (CHICAGO)	ENFERMAGEM                                        	B1
00469750	JOURNAL OF THE INSTITUTE OF BREWING	BIOTECNOLOGIA                                     	A4
00469939	BOLETIM DO INSTITUTO DE PESCA (IMPRESSO)	ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO	A4
00470767	INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY	EDUCAÇÃO FÍSICA                                   	B1
